variable,name,group,formula,units,frequency,availability,rationale,status,missing_treatment,economic_sign,transformation
gold_return,Gold Return,business,GC=F gold futures: percentage change between month-end closes after a one-US-session delay,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Known commodity/input-price or currency movement; futures vendor construction/roll effects are retained.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
silver_return,Silver Return,business,SI=F silver futures: percentage change between month-end closes after a one-US-session delay,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Known commodity/input-price or currency movement; futures vendor construction/roll effects are retained.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
gas_return,Gas Return,business,NG=F natural gas futures: percentage change between month-end closes after a one-US-session delay,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Known commodity/input-price or currency movement; futures vendor construction/roll effects are retained.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
oil_return,Oil Return,business,CL=F crude oil futures: percentage change between month-end closes after a one-US-session delay,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Known commodity/input-price or currency movement; futures vendor construction/roll effects are retained.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
revenue_growth_diff,Revenue Growth Diff,transform,revenue_growth at origin minus its preceding monthly as-known value,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",first difference
operating_margin_diff,Operating Margin Diff,transform,operating_margin at origin minus its preceding monthly as-known value,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",first difference
roe_diff,Roe Diff,transform,roe at origin minus its preceding monthly as-known value,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",first difference
earnings_yield_diff,Earnings Yield Diff,transform,earnings_yield at origin minus its preceding monthly as-known value,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",first difference
revenue_growth_lag1,Revenue Growth Lag1,transform,Value of revenue_growth 1 months before origin,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",lagged level
earnings_yield_lag1,Earnings Yield Lag1,transform,Value of earnings_yield 1 months before origin,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",lagged level
pe_pct_change,Pe Pct Change,transform,Valid as-known P/E at origin / preceding monthly P/E - 1,fraction,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Past multiple change; target-month price never enters.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",percentage change
earnings_yield_z,Earnings Yield Z,transform,"Current earnings yield less preceding 36-month mean, divided by preceding 36-month SD; minimum 24 prior months",standard deviations,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Valuation relative to the issuer’s own prior history.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",trailing z-score
revenue_valuation_interaction,Revenue Valuation Interaction,interaction,Quarterly year-over-year revenue growth × origin earnings yield,product of fractions,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests a limited valuation/growth interaction; no causal interpretation.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
margin_valuation_interaction,Margin Valuation Interaction,interaction,TTM operating margin × origin earnings yield,product of fractions,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests a limited profitability/valuation interaction.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
roic_proxy,Roic Proxy (unreconciled claims sensitivity),claims_proxy,"0.75 × TTM operating income / (latest total equity + debt - cash); end balance, limited claims proxy",ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
ev_ebitda_proxy,Ev Ebitda Proxy (unreconciled claims sensitivity),claims_proxy,(market cap + debt - cash + reported NCI proxy) / positive operating EBITDA,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
ev_sales_proxy,Ev Sales Proxy (unreconciled claims sensitivity),claims_proxy,Same limited-claims enterprise-value proxy / TTM revenue,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
fcf_yield,Fcf Yield,mine_inclusive_fcf,(TTM CFO - equipment capex - MTRN mine development) / common market cap; MTRN mine-inclusive sensitivity only,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
fcf_assets,Fcf Assets,mine_inclusive_fcf,TTM CFO less equipment capex and MTRN mine development / latest total assets,fraction,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Cash after recorded investment; missing mining history remains missing.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
pe,Pe,valuation,Common market cap / positive TTM common income,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,reported; reciprocal/related representation tested instead where redundant,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
pb,Pb,valuation,Common market cap / positive parent equity,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,reported; reciprocal/related representation tested instead where redundant,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
ps,Ps,valuation,Common market cap / TTM revenue,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,reported; reciprocal/related representation tested instead where redundant,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
pe_relative,Pe Relative,valuation,"Origin value minus preceding 60-month median, at least 36 prior observations; except industry-relative return = industry minus market",ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,reported; reciprocal/related representation tested instead where redundant,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
forward_pe,Forward Pe,deferred,No archived historical analyst consensus,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,deferred,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
earnings_surprise,Earnings Surprise,deferred,Consensus with matching original EPS basis unavailable,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,deferred,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
analyst_revisions,Analyst Revisions,deferred,No point-in-time estimate archive,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,deferred,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
bid_ask_spread,Bid Ask Spread,deferred,Historical contemporaneous quotes unavailable,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,deferred,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
roic,Roic,deferred,Claims/tax/invested-capital reconciliation incomplete; explicitly labeled proxy sensitivity available,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,deferred,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
ev_ebitda,Ev Ebitda,deferred,Full preferred/pension/lease/other claims unreconciled; proxy sensitivity only,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,deferred,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
ev_sales,Ev Sales,deferred,Full claims bridge unavailable; proxy sensitivity only,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,deferred,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
index_membership_return,Index Membership Return,deferred,Historical constituent membership unavailable; index/sector proxies used,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,deferred,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
tungsten_molybdenum_prices,Tungsten Molybdenum Prices,deferred,Comparable accessible historical price series not established,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,deferred,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
revenue_growth_lag3,"Revenue Growth, 3-month lag",transform,revenue_growth recorded 3 calendar months before the origin; not a first difference,same as parent variable,monthly lag of as-known series,known strictly before origin,Tests delayed predictor effects with otherwise identical current predictors.,implemented in controlled lag comparison,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",lagged level
operating_margin_lag1,"Operating Margin, 1-month lag",transform,operating_margin recorded 1 calendar months before the origin; not a first difference,same as parent variable,monthly lag of as-known series,known strictly before origin,Tests delayed predictor effects with otherwise identical current predictors.,implemented in controlled lag comparison,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",lagged level
operating_margin_lag3,"Operating Margin, 3-month lag",transform,operating_margin recorded 3 calendar months before the origin; not a first difference,same as parent variable,monthly lag of as-known series,known strictly before origin,Tests delayed predictor effects with otherwise identical current predictors.,implemented in controlled lag comparison,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",lagged level
earnings_yield_lag3,"Earnings Yield, 3-month lag",transform,earnings_yield recorded 3 calendar months before the origin; not a first difference,same as parent variable,monthly lag of as-known series,known strictly before origin,Tests delayed predictor effects with otherwise identical current predictors.,implemented in controlled lag comparison,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",lagged level
market_return_lag1,"Market Return, 1-month lag",transform,market_return recorded 1 calendar months before the origin; not a first difference,same as parent variable,monthly lag of as-known series,known strictly before origin,Tests delayed predictor effects with otherwise identical current predictors.,implemented in controlled lag comparison,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",lagged level
market_return_lag3,"Market Return, 3-month lag",transform,market_return recorded 3 calendar months before the origin; not a first difference,same as parent variable,monthly lag of as-known series,known strictly before origin,Tests delayed predictor effects with otherwise identical current predictors.,implemented in controlled lag comparison,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",lagged level
industry_relative_lag1,"Industry Relative, 1-month lag",transform,industry_relative recorded 1 calendar months before the origin; not a first difference,same as parent variable,monthly lag of as-known series,known strictly before origin,Tests delayed predictor effects with otherwise identical current predictors.,implemented in controlled lag comparison,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",lagged level
industry_relative_lag3,"Industry Relative, 3-month lag",transform,industry_relative recorded 3 calendar months before the origin; not a first difference,same as parent variable,monthly lag of as-known series,known strictly before origin,Tests delayed predictor effects with otherwise identical current predictors.,implemented in controlled lag comparison,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",lagged level
driver_return_lag1,"Driver Return, 1-month lag",transform,driver_return recorded 1 calendar months before the origin; not a first difference,same as parent variable,monthly lag of as-known series,known strictly before origin,Tests delayed predictor effects with otherwise identical current predictors.,implemented in controlled lag comparison,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",lagged level
driver_return_lag3,"Driver Return, 3-month lag",transform,driver_return recorded 3 calendar months before the origin; not a first difference,same as parent variable,monthly lag of as-known series,known strictly before origin,Tests delayed predictor effects with otherwise identical current predictors.,implemented in controlled lag comparison,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",lagged level
pe_diff,Pe Diff,transform,Valid origin P/E minus preceding monthly P/E,multiple,monthly,known at origin,Controlled P/E transformation comparison with other compact predictors held fixed.,implemented in controlled P/E comparison,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",first difference
pe_lag1,Pe Lag1,transform,Valid P/E recorded one calendar month before origin,multiple,monthly,known at origin,Controlled P/E transformation comparison with other compact predictors held fixed.,implemented in controlled P/E comparison,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",lagged level
